future_horizon,period,blocks,trusted_blocks,directional_accuracy,trusted_future_positive_rate,trusted_future_adv_mean,false_positive_trusted_blocks
20,2023,8,0,1.0,,,0
20,2024,9,1,0.5555555555555556,0.0,-0.017157002295077745,1
20,2025,8,4,0.875,1.0,0.01812154561504671,0
20,2026_JAN_JUL,3,3,0.6666666666666666,0.6666666666666666,0.009104411276103347,1
30,2023,6,0,1.0,,,0
30,2024,5,1,0.6,0.0,-0.012098906353128908,1
30,2025,6,2,0.8333333333333334,1.0,0.02386677052918642,0
30,2026_JAN_JUL,1,1,1.0,1.0,0.017296595527935388,0
50,2023,4,0,1.0,,,0
50,2024,3,0,1.0,,,0
50,2025,3,1,0.6666666666666666,1.0,0.017689987038546018,0
50,2026_JAN_JUL,1,1,1.0,1.0,0.003077629153095479,0
