period,file,bytes,sha256,expected_sha256,match_round026_vintage
2023,Kash_Model_Results_2023.csv,19321962,68208577fb67d24057a651db65ff99b526a2b79129f930efde4dc5760f229e2e,68208577fb67d24057a651db65ff99b526a2b79129f930efde4dc5760f229e2e,True
2024,Kash_Model_Results_2024.csv,22099201,fe2604156e36fd05af80e125cc0ed5ae088cc57f02d512c03dc9204a8cdadfef,fe2604156e36fd05af80e125cc0ed5ae088cc57f02d512c03dc9204a8cdadfef,True
2025,Kash_Model_Results_2025.csv,24108603,a6b51f3f174a44a169fb320b09e34d734f817d378144d733ac25345065feb758,a6b51f3f174a44a169fb320b09e34d734f817d378144d733ac25345065feb758,True
2026_JAN_JUL,Kash_Model_Results_2026_01.csv,2425772,54c8980ccffbd43efa799569da4e563e5b5c63f16330a287f5978d1f599c6d16,54c8980ccffbd43efa799569da4e563e5b5c63f16330a287f5978d1f599c6d16,True
2026_JAN_JUL,Kash_Model_Results_2026_02.csv,2134038,4efc4513ab58fd91a7769110683f1581759a29669e4e097ed1918a1bf4a77ab2,4efc4513ab58fd91a7769110683f1581759a29669e4e097ed1918a1bf4a77ab2,True
2026_JAN_JUL,Kash_Model_Results_2026_03.csv,2144084,6e2900590efd1effc2b6fa834ea0a130df948400985b86fca5f5beddcb6d4aaf,6e2900590efd1effc2b6fa834ea0a130df948400985b86fca5f5beddcb6d4aaf,True
2026_JAN_JUL,Kash_Model_Results_2026_04.csv,2312618,724f10686d438a886227c6aa9c85efd039e7ada149046d53b88522d312b22882,724f10686d438a886227c6aa9c85efd039e7ada149046d53b88522d312b22882,True
2026_JAN_JUL,Kash_Model_Results_2026_05.csv,2286944,c8b5824d0964085fbe147a73fb6c2af0681fadcbdd5b5d04744a3e49158b8c3b,c8b5824d0964085fbe147a73fb6c2af0681fadcbdd5b5d04744a3e49158b8c3b,True
2026_JAN_JUL,Kash_Model_Results_2026_06.csv,2115652,c689c8586ac28c013cd249a987bed8172e7d197b6dea07bfadbdfa9714211641,c689c8586ac28c013cd249a987bed8172e7d197b6dea07bfadbdfa9714211641,True
2026_JAN_JUL,Kash_Model_Results_2026_07.csv,2323019,8dbab7c394347e87e6ad55193370d81d19c2690bfb4c7ffce243c1b25ea29c7c,8dbab7c394347e87e6ad55193370d81d19c2690bfb4c7ffce243c1b25ea29c7c,True
