date,track_kash,market_key,selection_key,bsp,bsp_anz,bsp_abs_diff
2023-10-22,Naracoorte,220014969,51203062,220.0,110.0,110.0
2023-12-16,Te Rapa,222570940,39232294,165.0,55.0,110.0
2023-12-02,Te Rapa,222002016,1420516,205.12,102.56,102.56
2023-10-22,Naracoorte,220014969,61861130,150.28,75.14,75.14
2023-12-16,Te Rapa,222570940,20599962,105.42,35.14,70.28
2023-12-16,Te Rapa,222570940,50604745,57.0,19.0,38.0
2023-10-22,Naracoorte,220014969,61861128,58.0,29.0,29.0
2023-12-16,Te Rapa,222570940,57377581,42.39,14.13,28.259999999999998
2023-12-16,Te Rapa,222570940,42588066,39.0,13.0,26.0
2023-10-22,Naracoorte,220014969,61861129,49.06,24.53,24.53
2023-12-02,Te Rapa,222002016,63363119,48.06,24.03,24.03
2023-12-16,Te Rapa,222570940,63858652,31.5,10.5,21.0
2023-12-02,Te Rapa,222002016,21937710,35.54,17.77,17.77
2023-10-22,Naracoorte,220014969,56090164,35.46,17.73,17.73
2023-12-02,Te Rapa,222002016,57882981,32.62,16.31,16.31
2023-12-02,Te Rapa,222002016,63363121,30.0,15.0,15.0
2023-10-22,Naracoorte,220014969,38903647,27.0,13.5,13.5
2023-12-16,Te Rapa,222570940,36852716,18.54,6.18,12.36
2023-12-16,Te Rapa,222570940,37481578,18.45,6.15,12.299999999999999
2023-10-22,Naracoorte,220014969,28364734,24.0,12.0,12.0
