track_kash,sa_r2,joined,preoff_ok,final_candidates,join_rate
Balaklava,117,94,94,10,0.8034188034188035
Bordertown,41,41,41,7,1.0
Clare,30,23,23,4,0.7666666666666667
Gawler,84,84,84,2,1.0
Halidon,7,7,7,1,1.0
Kangaroo Island,15,15,15,4,1.0
Morphettville,410,383,383,62,0.9341463414634147
Mount Gambier,80,80,80,9,1.0
Murray Bridge,192,176,176,26,0.9166666666666666
Naracoorte,45,38,38,4,0.8444444444444444
Oakbank,60,44,44,10,0.7333333333333333
Penola,39,31,31,6,0.7948717948717948
Port Augusta,49,49,49,4,1.0
Port Lincoln,87,87,87,10,1.0
Strathalbyn,97,90,90,12,0.9278350515463918
