date,track_kash,market_key,selection_key,model_odds,bsp,final_candidate_kash
2025-04-02,Balaklava,241667625,82018112,5.05,8.8,False
2025-04-02,Balaklava,241667634,80300474,6.99,11.16,False
2025-04-02,Balaklava,241667643,82018130,6.0,4.23,False
2025-04-02,Balaklava,241667652,58569476,5.59,5.0,False
2025-04-02,Balaklava,241667661,82018135,5.17,8.03,False
2025-04-02,Balaklava,241667670,72167556,4.82,5.27,False
2025-04-02,Balaklava,241667679,81517783,5.1,6.38,False
2025-04-02,Balaklava,241667688,71903715,10.92,13.69,False
2025-04-05,Morphettville,241780005,57883708,3.93,3.75,False
2025-04-05,Morphettville,241780014,64367546,6.04,6.66,False
2025-04-05,Morphettville,241780023,64959007,6.53,7.82,False
2025-04-05,Morphettville,241780032,16279652,4.67,5.39,False
2025-04-05,Morphettville,241780041,82078016,5.0,3.61,True
2025-04-05,Morphettville,241780050,82078017,5.21,3.05,True
2025-04-05,Morphettville,241780059,230221,3.16,3.2,False
2025-04-05,Morphettville,241780068,51454755,5.45,4.7,False
2025-04-05,Morphettville,241780077,63402168,7.65,5.45,False
2025-04-06,Naracoorte,241873233,58672001,4.42,6.26,False
2025-04-06,Naracoorte,241873239,81155840,4.19,4.18,False
2025-04-06,Naracoorte,241873245,82115601,6.44,7.46,False
2025-04-06,Naracoorte,241873251,544210,4.48,3.2,True
2025-04-06,Naracoorte,241873257,38285273,4.87,4.64,False
2025-04-06,Naracoorte,241873263,68157328,6.53,5.3,False
2025-04-06,Naracoorte,241873269,42343092,6.67,5.77,False
2025-04-09,Murray Bridge,242012585,82018129,4.5,4.72,False
2025-04-09,Murray Bridge,242012594,82277807,5.03,5.93,False
2025-04-09,Murray Bridge,242012603,82277811,4.35,3.92,False
2025-04-09,Murray Bridge,242012612,58371149,3.89,4.6,False
2025-04-09,Murray Bridge,242012621,636097,6.44,3.75,True
2025-04-09,Murray Bridge,242012630,61592883,5.82,12.0,False
2025-04-09,Murray Bridge,242012639,52311190,6.95,6.6,False
2025-04-09,Murray Bridge,242012648,82277848,7.49,13.0,False
2025-04-12,Morphettville,242116987,82344595,4.6,7.6,False
2025-04-12,Morphettville,242116996,82344598,6.45,10.0,False
2025-04-12,Morphettville,242117005,73443256,5.1,5.99,False
2025-04-12,Morphettville,242117014,61791140,6.85,5.88,False
2025-04-12,Morphettville,242117023,73420387,4.13,3.2,True
2025-04-12,Morphettville,242117032,51784036,7.25,11.33,False
2025-04-12,Morphettville,242117041,39810982,4.32,4.53,False
2025-04-12,Morphettville,242117050,1141188,5.71,4.45,False
2025-04-12,Morphettville,242117059,80300407,5.71,5.43,False
2025-04-11,Strathalbyn,242123792,82344336,3.52,3.59,False
2025-04-11,Strathalbyn,242123798,5146867,4.35,7.62,False
2025-04-11,Strathalbyn,242123804,77385667,5.21,4.16,False
2025-04-11,Strathalbyn,242123810,9224679,7.11,7.44,False
2025-04-11,Strathalbyn,242123816,6744167,4.6,4.58,False
2025-04-11,Strathalbyn,242123822,60779400,4.76,3.7,False
2025-04-11,Strathalbyn,242123828,72096699,5.86,3.93,True
2025-04-16,Balaklava,242367402,82538254,6.39,3.59,True
2025-04-16,Balaklava,242367411,73917960,3.4,3.0,False
2025-04-16,Balaklava,242367420,82538269,4.74,5.04,False
2025-04-16,Balaklava,242367429,42879287,6.84,5.61,False
2025-04-16,Balaklava,242367438,82538275,4.75,4.8,False
2025-04-16,Balaklava,242367447,66826339,6.05,7.15,False
2025-04-16,Balaklava,242367456,2089154,4.73,5.03,False
2025-04-19,Oakbank,242470113,82602446,5.04,6.49,False
2025-04-19,Oakbank,242470122,80026296,4.73,8.25,False
2025-04-19,Oakbank,242470131,69389923,4.04,3.93,False
2025-04-19,Oakbank,242470140,82602456,5.65,7.45,False
2025-04-19,Oakbank,242470149,27213338,5.36,9.16,False
2025-04-19,Oakbank,242470158,2887382,5.43,5.31,False
2025-04-19,Oakbank,242470167,71403413,8.24,12.5,False
2025-04-19,Oakbank,242470176,59146500,6.3,6.6,False
2025-04-19,Oakbank,242470185,9286942,5.55,8.44,False
2025-04-19,Clare,242520032,61791107,8.11,6.75,False
2025-04-19,Clare,242520038,82602247,3.91,4.4,False
2025-04-19,Clare,242520044,3735502,4.81,6.97,False
2025-04-19,Clare,242520050,52900480,6.41,8.69,False
2025-04-19,Clare,242520056,40579273,6.91,6.8,False
2025-04-19,Clare,242520062,73176912,5.14,4.74,False
2025-04-19,Clare,242520068,77386385,6.59,4.05,True
2025-04-21,Oakbank,242567668,82602482,5.16,12.11,False
2025-04-21,Oakbank,242567677,82602487,5.44,6.28,False
2025-04-21,Oakbank,242567686,68673855,5.51,3.97,True
2025-04-21,Oakbank,242567695,67855250,6.81,3.9,True
2025-04-21,Oakbank,242567704,41234140,6.75,5.66,False
2025-04-21,Oakbank,242567713,50880065,7.07,4.7,True
2025-04-21,Oakbank,242567722,70385782,8.19,10.33,False
2025-04-20,Penola,242569113,82602283,4.84,4.26,False
2025-04-20,Penola,242569119,78290318,5.23,6.2,False
2025-04-20,Penola,242569125,74264151,4.64,4.2,False
2025-04-20,Penola,242569131,82602293,4.16,5.56,False
2025-04-20,Penola,242569137,906045,5.14,7.2,False
2025-04-20,Penola,242569143,82602305,4.75,5.99,False
2025-04-20,Penola,242569149,72414173,4.1,2.65,True
2025-04-20,Penola,242569155,1049896,5.53,4.62,False
2025-04-25,Balaklava,242804662,82857332,5.69,4.28,False
2025-04-25,Balaklava,242804671,76246377,4.66,5.86,False
2025-04-25,Balaklava,242804680,82857347,5.06,7.87,False
2025-04-25,Balaklava,242804689,82018116,3.29,2.39,True
2025-04-25,Balaklava,242804698,53147774,5.17,2.97,True
2025-04-25,Balaklava,242804707,2907033,6.26,5.06,False
2025-04-25,Balaklava,242804716,79802959,5.73,6.2,False
2025-04-25,Balaklava,242804725,82857376,5.34,4.05,False
2025-04-26,Morphettville,242804969,82856719,8.23,10.5,False
2025-04-26,Morphettville,242804978,82856724,4.69,3.61,False
2025-04-26,Morphettville,242804987,82344622,3.94,3.1,False
2025-04-26,Morphettville,242804996,73991393,6.78,5.75,False
2025-04-26,Morphettville,242805005,82856739,6.25,4.96,False
2025-04-26,Morphettville,242805014,82856747,6.55,11.38,False
2025-04-26,Morphettville,242805023,73443270,5.76,5.2,False
2025-04-26,Morphettville,242805032,82818878,8.75,8.06,False
2025-04-26,Morphettville,242805041,73991407,6.31,9.24,False
2025-04-30,Murray Bridge,243054307,82344602,5.86,13.16,False
2025-04-30,Murray Bridge,243054314,83050160,6.53,6.32,False
2025-04-30,Murray Bridge,243054321,81746601,6.36,3.7,True
2025-04-30,Murray Bridge,243054328,83050169,6.37,5.0,False
2025-04-30,Murray Bridge,243054335,83050174,6.37,5.09,False
2025-04-30,Murray Bridge,243054342,56905698,11.8,5.32,True
2025-04-30,Murray Bridge,243054349,51294709,4.52,3.29,True
2025-04-30,Murray Bridge,243054356,28309959,7.37,14.55,False
