period,month,sa_r2,joined,join_rate,preoff_ok,final_candidates,final_candidates_joined,final_candidates_preoff_ok
2023,2023-01,102,102,1.0,102,11,11,11
2023,2023-02,113,113,1.0,113,16,16,16
2023,2023-03,131,131,1.0,131,12,12,12
2023,2023-04,130,130,1.0,130,20,20,20
2023,2023-05,111,111,1.0,111,20,20,20
2023,2023-06,100,100,1.0,100,20,20,20
2023,2023-07,104,104,1.0,104,15,15,15
2023,2023-08,87,87,1.0,87,17,17,17
2023,2023-09,86,86,1.0,86,13,13,13
2023,2023-10,123,123,1.0,123,21,21,21
2023,2023-11,113,113,1.0,113,18,18,18
2023,2023-12,153,153,1.0,153,25,25,25
2024,2024-01,107,107,1.0,107,12,12,12
2024,2024-02,122,122,1.0,122,25,25,25
2024,2024-03,129,129,1.0,129,27,27,27
2024,2024-04,111,111,1.0,111,10,10,10
2024,2024-05,112,112,1.0,112,10,10,10
2024,2024-06,106,106,1.0,106,13,13,13
2024,2024-07,103,103,1.0,103,9,9,9
2024,2024-08,91,91,1.0,91,8,8,8
2024,2024-09,108,108,1.0,108,8,8,8
2024,2024-10,121,121,1.0,121,12,12,12
2024,2024-11,119,119,1.0,119,20,20,20
2024,2024-12,131,131,1.0,131,22,22,22
2025,2025-01,118,118,1.0,118,13,13,13
2025,2025-02,119,119,1.0,119,17,17,17
2025,2025-03,116,116,1.0,116,23,23,23
2025,2025-04,111,0,0.0,0,17,0,0
2025,2025-05,120,120,1.0,120,17,17,17
2025,2025-06,106,106,1.0,106,8,8,8
2025,2025-07,99,99,1.0,99,7,7,7
2025,2025-08,105,105,1.0,105,12,12,12
2025,2025-09,90,90,1.0,90,15,15,15
2025,2025-10,111,111,1.0,111,15,15,15
2025,2025-11,124,124,1.0,124,14,14,14
2025,2025-12,134,134,1.0,134,13,13,13
2026_JAN_JUL,2026-01,115,115,1.0,115,10,10,10
2026_JAN_JUL,2026-02,122,122,1.0,122,10,10,10
2026_JAN_JUL,2026-03,103,103,1.0,103,10,10,10
2026_JAN_JUL,2026-04,121,121,1.0,121,8,8,8
2026_JAN_JUL,2026-05,104,104,1.0,104,15,15,15
2026_JAN_JUL,2026-06,86,86,1.0,86,5,5,5
2026_JAN_JUL,2026-07,116,116,1.0,116,11,11,11
