date,period,track,market_id,selection_id,model_odds,preoff_lay,bsp,win,preoff_value,gate_on,hist_n,hist_brier_adv
2023-01-04,2023,Mount Gambier,208198013,44037868,5.47,3.15,3.21,1.0,-0.1346449609703723,False,0,
2023-01-07,2023,Gawler,208263684,51218016,4.41,3.1,3.4,0.0,-0.09582327554677786,False,1,
2023-01-07,2023,Gawler,208263696,26609213,4.53,3.0,2.9,1.0,-0.11258278145695363,False,1,
2023-01-07,2023,Gawler,208263708,44389202,5.37,3.5,3.02,0.0,-0.09949454642192071,False,1,
2023-01-20,2023,Murray Bridge,208824175,51616006,3.94,2.6,2.58,0.0,-0.13080827801639983,False,4,
2023-01-21,2023,Gawler,208825245,45168722,3.08,2.32,2.32,1.0,-0.10635915808329605,False,5,
2023-01-21,2023,Gawler,208825251,51784054,5.19,3.25,3.1,1.0,-0.11501408033199945,False,5,
2023-01-21,2023,Gawler,208825269,42844810,4.64,3.35,2.93,0.0,-0.08299022130725678,False,5,
2023-01-28,2023,Morphettville,209119731,51958129,5.1,3.35,3.36,0.0,-0.10242903131401809,False,8,
2023-01-29,2023,Strathalbyn,209191799,43858286,5.05,3.5,4.0,0.0,-0.08769448373408767,False,9,
2023-02-01,2023,Murray Bridge,209362468,45875156,3.73,2.76,2.56,0.0,-0.09422232583440188,False,10,
2023-02-03,2023,Port Lincoln,209439602,12200084,4.78,2.96,3.34,0.0,-0.12863281691733575,False,11,
2023-02-04,2023,Morphettville,209438855,21661956,4.97,3.15,3.25,1.0,-0.11625307399955284,False,12,
2023-02-04,2023,Morphettville,209438873,44364659,4.65,2.6,2.65,1.0,-0.1695616211745244,False,12,
2023-02-05,2023,Bordertown,209514358,16796089,7.27,3.65,3.69,1.0,-0.1364210208965348,False,14,
2023-02-05,2023,Bordertown,209514370,40612518,5.16,3.6,3.5,1.0,-0.0839793281653747,False,14,
2023-02-15,2023,Strathalbyn,209983478,4407333,6.83,3.65,3.6,0.0,-0.12755971840590463,False,16,
2023-02-22,2023,Mount Gambier,210281132,39456911,5.53,3.9,3.79,0.0,-0.07557843000880979,False,17,
2023-02-25,2023,Morphettville,210357568,51312026,4.81,3.2,3.3,1.0,-0.10459979209979209,False,18,
2023-03-01,2023,Balaklava,210597777,53088553,4.9,3.1,3.2,0.0,-0.11849901250822911,False,19,
2023-03-05,2023,Bordertown,210787535,45191105,5.56,3.5,3.25,0.0,-0.10585817060637201,False,20,
2023-03-11,2023,Morphettville,211049508,53407700,5.57,3.75,3.78,0.0,-0.08713345302214243,False,21,
2023-03-19,2023,Port Lincoln,211487560,12268424,3.56,2.44,2.77,0.0,-0.1289371891692761,False,22,
2023-03-19,2023,Port Lincoln,211487572,53719800,6.92,4.1,3.4,0.0,-0.09939376850415904,False,22,
2023-03-22,2023,Strathalbyn,211627127,2479577,4.4,3.1,2.84,0.0,-0.09530791788856305,False,24,
2023-03-29,2023,Balaklava,211950633,54085472,5.24,3.8,3.25,1.0,-0.07231820008035356,False,25,
2023-03-29,2023,Balaklava,211950639,54085480,4.69,2.72,2.64,0.0,-0.15442744261883856,False,25,
2023-03-29,2023,Balaklava,211950645,50528454,4.7,3.4,3.2,0.0,-0.08135168961201503,False,25,
2023-04-01,2023,Morphettville,212040535,45541803,7.69,4.7,4.7,0.0,-0.08272694574329748,False,28,
2023-04-02,2023,Gawler,212119404,36409856,8.29,5.2,5.55,0.0,-0.07168043054653425,False,29,
2023-04-08,2023,Oakbank,212404950,47240537,6.98,3.6,3.99,1.0,-0.13451130213307866,False,30,
2023-04-08,2023,Clare,212456658,54403433,4.16,2.56,2.34,1.0,-0.15024038461538464,False,30,
2023-04-08,2023,Clare,212456664,54403444,3.67,2.46,2.54,0.0,-0.13402450100795282,False,30,
2023-04-08,2023,Clare,212456670,28596564,4.55,2.94,3.02,1.0,-0.12035583464154892,False,30,
2023-04-08,2023,Clare,212456676,39595136,4.55,3.4,3.48,1.0,-0.07433742727860376,False,30,
2023-04-08,2023,Clare,212456682,16602169,4.3,2.88,2.89,0.0,-0.11466408268733849,False,30,
2023-04-09,2023,Penola,212457494,54403818,5.55,3.8,4.24,0.0,-0.08297771455666189,False,36,
2023-04-09,2023,Penola,212457512,37231675,5.45,3.6,3.8,0.0,-0.09429153924566772,False,36,
2023-04-09,2023,Penola,212457524,20357382,5.75,4.0,4.12,0.0,-0.07608695652173914,False,36,
2023-04-10,2023,Oakbank,212458587,54403571,5.07,3.6,3.4,0.0,-0.0805391190006575,False,39,
2023-04-10,2023,Oakbank,212458623,22721275,5.38,3.85,3.94,0.0,-0.07386665379230431,False,39,
2023-04-15,2023,Morphettville,212782682,48489472,9.41,4.6,4.71,0.0,-0.11112137873677404,False,41,
2023-04-16,2023,Port Lincoln,212860192,41511137,4.46,3.1,2.99,0.0,-0.098365398524519,False,42,
2023-04-16,2023,Port Lincoln,212860198,54704519,5.84,4.1,4.33,1.0,-0.07266956231206151,False,42,
2023-04-22,2023,Morphettville,213117195,50658234,4.68,3.1,2.95,1.0,-0.10890543148607662,False,44,
2023-04-22,2023,Morphettville,213117201,51032419,7.78,4.5,4.5,0.0,-0.09368751785204227,False,44,
2023-04-22,2023,Morphettville,213117207,54935729,6.76,4.1,3.48,1.0,-0.09597344494155002,False,44,
2023-04-22,2023,Morphettville,213117243,38256261,4.37,2.84,2.75,0.0,-0.12327972411125798,False,44,
