date,period,market_key,selection_key,track_kash,model_odds,bsp_anz,preoff_lay,final_value,preoff_value,final_candidate,gate_on,hist_n,hist_brier_adv,win
2023-01-04,2023,208198013,44037868,Mount Gambier,5.47,3.21,3.15,-0.12871112326083364,-0.1346449609703723,True,False,1,,1.0
2023-01-07,2023,208263684,51218016,Gawler,4.41,3.4,3.1,-0.06736027744431108,-0.09582327554677786,False,False,2,,0.0
2023-01-07,2023,208263696,26609213,Gawler,4.53,2.9,3.0,-0.1240770343305169,-0.11258278145695363,True,False,2,,1.0
2023-01-07,2023,208263708,44389202,Gawler,5.37,3.02,3.5,-0.14490608852220457,-0.09949454642192071,True,False,2,,0.0
2023-01-20,2023,208824175,51616006,Murray Bridge,3.94,2.58,2.6,-0.1337897926258214,-0.13080827801639983,True,False,5,,0.0
2023-01-21,2023,208825245,45168722,Gawler,3.08,2.32,2.32,-0.10635915808329605,-0.10635915808329605,True,False,6,,1.0
2023-01-21,2023,208825251,51784054,Gawler,5.19,3.1,3.25,-0.12990241780098205,-0.11501408033199945,True,False,6,,1.0
2023-01-21,2023,208825269,42844810,Gawler,4.64,2.93,3.35,-0.12577968694833466,-0.08299022130725678,True,False,6,,0.0
2023-01-28,2023,209119731,51958129,Morphettville,5.1,3.36,3.35,-0.10154061624649857,-0.10242903131401809,True,False,10,,0.0
2023-01-29,2023,209191799,43858286,Strathalbyn,5.05,4.0,3.5,-0.05198019801980197,-0.08769448373408767,False,False,11,,0.0
2023-02-01,2023,209362468,45875156,Murray Bridge,3.73,2.56,2.76,-0.12252848525469168,-0.09422232583440188,True,False,11,,0.0
2023-02-03,2023,209439602,12200084,Port Lincoln,4.78,3.34,2.96,-0.09019617668428836,-0.12863281691733575,True,False,12,,0.0
2023-02-04,2023,209438855,21661956,Morphettville,4.97,3.25,3.15,-0.10648506423154311,-0.11625307399955284,True,False,14,,1.0
2023-02-04,2023,209438873,44364659,Morphettville,4.65,2.65,2.6,-0.16230472712517757,-0.1695616211745244,True,False,14,,1.0
2023-02-05,2023,209514358,16796089,Bordertown,7.27,3.69,3.65,-0.13345112818390908,-0.1364210208965348,True,False,16,,1.0
2023-02-05,2023,209514370,40612518,Bordertown,5.16,3.5,3.6,-0.09191583610188261,-0.0839793281653747,True,False,16,,1.0
2023-02-15,2023,209983478,4407333,Strathalbyn,6.83,3.6,3.65,-0.1313648934439564,-0.12755971840590463,True,False,21,,0.0
2023-02-22,2023,210281132,39456911,Mount Gambier,5.53,3.79,3.9,-0.08302041634261667,-0.07557843000880979,True,False,24,,0.0
2023-02-25,2023,210357568,51312026,Morphettville,4.81,3.3,3.2,-0.09513009513009513,-0.10459979209979209,True,False,25,,1.0
