removed,n,markets,net_pl,pot,rol,maxdd
Balaklava,89,89,24.97999999999999,0.2806741573033707,0.11429878746282311,7.65
Bordertown,98,98,22.90999999999999,0.23377551020408152,0.09564963259853036,9.029999999999998
Clare,96,96,18.219999999999985,0.1897916666666665,0.07749893662271368,9.029999999999998
Gawler,98,98,24.109999999999985,0.24602040816326515,0.10131529184350963,8.48
Kangaroo Island,99,99,23.41999999999999,0.23656565656565648,0.09678085871316994,9.030000000000001
Morphettville,72,72,12.749999999999996,0.1770833333333333,0.07333064933571057,7.860000000000001
Mount Gambier,95,95,23.49999999999999,0.24736842105263146,0.10001276758735153,9.030000000000001
Murray Bridge,88,88,18.789999999999992,0.21352272727272717,0.08688213806815552,9.959999999999999
Naracoorte,100,100,21.939999999999987,0.21939999999999987,0.08980026195153891,9.029999999999998
Oakbank,98,98,23.559999999999988,0.240408163265306,0.0980890128648153,9.030000000000001
Penola,99,99,21.00999999999999,0.21222222222222212,0.08668922264400063,9.030000000000001
Port Augusta,97,97,22.47999999999999,0.2317525773195875,0.09496451503886444,9.029999999999998
Port Lincoln,91,91,16.949999999999992,0.18626373626373618,0.0774998856933839,9.03
Strathalbyn,93,93,22.68999999999999,0.2439784946236558,0.1003227660609276,9.41
