track_kash,n,markets,net_pl,pot,rol,maxdd
Balaklava,12,12,-2.1100000000000003,-0.17583333333333337,-0.07503556187766716,7.79
Bordertown,3,3,-0.040000000000000036,-0.013333333333333345,-0.005594405594405599,1.9
Clare,5,5,4.6499999999999995,0.9299999999999999,0.4019014693171996,-0.9299999999999997
Gawler,3,3,-1.2399999999999998,-0.4133333333333333,-0.1425287356321839,3.0999999999999996
Kangaroo Island,2,2,-0.55,-0.275,-0.11752136752136753,1.48
Morphettville,29,29,10.119999999999997,0.3489655172413792,0.139010989010989,5.12
Mount Gambier,6,6,-0.6300000000000003,-0.10500000000000005,-0.05384615384615388,4.35
Murray Bridge,13,13,4.079999999999998,0.3138461538461537,0.13421052631578942,2.2
Naracoorte,1,1,0.9299999999999999,0.9299999999999999,0.3957446808510638,-0.9299999999999999
Oakbank,3,3,-0.69,-0.22999999999999998,-0.10648148148148147,2.55
Penola,2,2,1.8599999999999999,0.9299999999999999,0.43155452436194885,-0.9299999999999999
Port Augusta,4,4,0.3900000000000001,0.09750000000000003,0.0391959798994975,2.4
Port Lincoln,10,10,5.919999999999999,0.5919999999999999,0.21173104434907006,2.45
Strathalbyn,8,8,0.17999999999999972,0.022499999999999964,0.008780487804878036,4.47
