date,raw_rows,usable_rows,markets,sa_markets,sa_r2_rows,ratings_http_status,r2_result_rows_recovered,r2_result_coverage,candidate_n,status,recovery_note
2026-08-01,1040,1040,105,9,9,200,9,1.0,1,RECOVERED,
2026-08-02,381,381,41,0,0,200,0,1.0,0,RECOVERED,NO_SA_RACES
2026-08-03,248,248,25,0,0,200,0,1.0,0,RECOVERED,NO_SA_RACES
2026-08-04,320,320,31,0,0,200,0,1.0,0,RECOVERED,NO_SA_RACES
2026-08-05,516,516,49,8,8,200,8,1.0,0,RECOVERED,
2026-08-06,109,109,14,0,0,200,0,1.0,0,RECOVERED,NO_SA_RACES
2026-08-07,286,286,27,6,6,200,6,1.0,1,RECOVERED,
2026-08-08,927,927,91,9,9,200,9,1.0,2,RECOVERED,
2026-08-09,362,362,41,0,0,200,0,1.0,0,RECOVERED,NO_SA_RACES
2026-08-10,285,285,30,0,0,200,0,1.0,0,RECOVERED,NO_SA_RACES
