date,venue,country,race_type,market_id,race_no,start_time,market_status,event_name
2026-08-11,ALBION PARK,AUS,H,1.260956649,1,2026-08-11 02:37:00,OPEN,R1 1660m Pace M
2026-08-11,ALBION PARK,AUS,H,1.260956651,2,2026-08-11 03:12:00,OPEN,R2 1660m Pace M
2026-08-11,ALBION PARK,AUS,H,1.260956653,3,2026-08-11 03:47:00,OPEN,R3 1660m Pace M
2026-08-11,ALBION PARK,AUS,H,1.260956655,4,2026-08-11 04:22:00,OPEN,R4 2138m Trot M
2026-08-11,ALBION PARK,AUS,H,1.260956657,5,2026-08-11 05:03:00,OPEN,R5 1660m Pace M
2026-08-11,ALBION PARK,AUS,H,1.260956659,6,2026-08-11 05:42:00,OPEN,R6 1660m Pace M
2026-08-11,ALBION PARK,AUS,H,1.260956661,7,2026-08-11 06:17:00,OPEN,R7 1660m Pace M
2026-08-11,ALBION PARK,AUS,H,1.260956663,8,2026-08-11 06:52:00,OPEN,R8 1660m Pace M
2026-08-11,ALBION PARK,AUS,H,1.260956665,9,2026-08-11 07:23:00,OPEN,R9 1660m Pace M
2026-08-11,ALBION PARK,AUS,H,1.260956667,10,2026-08-11 07:53:00,OPEN,R10 1660m Pace M
2026-08-11,ALBION PARK,AUS,H,1.260956669,11,2026-08-11 08:27:00,OPEN,R11 1660m Pace M
2026-08-11,ALBURY,AUS,H,1.260958397,1,2026-08-11 08:10:00,OPEN,R1 1770m Pace M
2026-08-11,ALBURY,AUS,H,1.260958399,2,2026-08-11 08:39:00,OPEN,R2 1770m Pace M
2026-08-11,ALBURY,AUS,H,1.260958401,3,2026-08-11 09:13:00,OPEN,R3 1770m Pace M
2026-08-11,ALBURY,AUS,H,1.260958403,4,2026-08-11 09:47:00,OPEN,R4 1770m Pace M
2026-08-11,ALBURY,AUS,H,1.260958405,5,2026-08-11 10:21:00,OPEN,R5 1770m Pace M
2026-08-11,ALBURY,AUS,H,1.260958407,6,2026-08-11 10:52:00,OPEN,R6 1770m Pace M
2026-08-11,ALBURY,AUS,H,1.260958409,7,2026-08-11 11:22:00,OPEN,R7 1770m Pace M
2026-08-11,ALBURY,AUS,H,1.260958411,8,2026-08-11 11:55:00,OPEN,R8 1770m Pace M
2026-08-11,BALLARAT,AUS,R,1.260958828,1,2026-08-11 01:55:00,OPEN,R1 2100m Mdn
2026-08-11,BALLARAT,AUS,R,1.260958836,2,2026-08-11 02:25:00,OPEN,R2 1200m Mdn
2026-08-11,BALLARAT,AUS,R,1.260958844,3,2026-08-11 03:00:00,OPEN,R3 1400m Hcap
2026-08-11,BALLARAT,AUS,R,1.260958852,4,2026-08-11 03:30:00,OPEN,R4 1500m Mdn
2026-08-11,BALLARAT,AUS,R,1.260958860,5,2026-08-11 04:00:00,OPEN,R5 1500m Hcap
2026-08-11,BALLARAT,AUS,R,1.260958868,6,2026-08-11 04:30:00,OPEN,R6 1200m Hcap
2026-08-11,BALLARAT,AUS,R,1.260958876,7,2026-08-11 05:00:00,OPEN,R7 1000m Hcap
2026-08-11,BALLARAT,AUS,R,1.260958884,8,2026-08-11 05:30:00,OPEN,R8 1200m Hcap
2026-08-11,BALLARAT,AUS,R,1.260958892,9,2026-08-11 06:00:00,OPEN,R9 1500m Hcap
2026-08-11,BALLARAT,AUS,R,1.260958900,10,2026-08-11 06:30:00,OPEN,R10 1400m Hcap
2026-08-11,BALLINA,AUS,R,1.260925907,1,2026-08-11 02:30:00,OPEN,R1 1590m Hcap
2026-08-11,BALLINA,AUS,R,1.260925910,2,2026-08-11 03:05:00,OPEN,R2 1250m Mdn
2026-08-11,BALLINA,AUS,R,1.260925913,3,2026-08-11 03:40:00,OPEN,R3 1000m Mdn
2026-08-11,BALLINA,AUS,R,1.260925916,4,2026-08-11 04:15:00,OPEN,R4 1900m CL1
2026-08-11,BALLINA,AUS,R,1.260925919,5,2026-08-11 04:55:00,OPEN,R5 1400m Mdn
2026-08-11,BALLINA,AUS,R,1.260925922,6,2026-08-11 05:35:00,OPEN,R6 1300m Hcap
2026-08-11,BALLINA,AUS,R,1.260925925,7,2026-08-11 06:10:00,OPEN,R7 1000m CL2
2026-08-11,BALLINA,AUS,R,1.260925928,8,2026-08-11 06:45:00,OPEN,R8 1250m Hcap
2026-08-11,BROOME,AUS,R,1.260912642,1,2026-08-11 05:43:00,OPEN,R1 1435m CL2
2026-08-11,BROOME,AUS,R,1.260912646,2,2026-08-11 06:20:00,OPEN,R2 1000m CL2
2026-08-11,BROOME,AUS,R,1.260912650,3,2026-08-11 06:55:00,OPEN,R3 1300m Hcap
2026-08-11,BROOME,AUS,R,1.260912654,4,2026-08-11 07:35:00,OPEN,R4 1300m Hcap
2026-08-11,BROOME,AUS,R,1.260912658,5,2026-08-11 08:15:00,OPEN,R5 1300m Hcap
2026-08-11,BROOME,AUS,R,1.260912662,6,2026-08-11 08:50:00,OPEN,R6 1100m Hcap
2026-08-11,BULLI,AUS,G,1.260957811,1,2026-08-11 05:51:00,OPEN,R1 340m Mdn
2026-08-11,BULLI,AUS,G,1.260957814,2,2026-08-11 06:11:00,OPEN,R2 472m Rest
2026-08-11,BULLI,AUS,G,1.260957817,3,2026-08-11 06:27:00,OPEN,R3 340m Gr5
2026-08-11,BULLI,AUS,G,1.260957820,4,2026-08-11 06:46:00,OPEN,R4 340m Gr5
2026-08-11,BULLI,AUS,G,1.260957823,5,2026-08-11 07:06:00,OPEN,R5 340m Gr5
2026-08-11,BULLI,AUS,G,1.260957826,6,2026-08-11 07:25:00,OPEN,R6 340m FFA
2026-08-11,BULLI,AUS,G,1.260957829,7,2026-08-11 07:47:00,OPEN,R7 400m Gr5
2026-08-11,BULLI,AUS,G,1.260957832,8,2026-08-11 08:14:00,OPEN,R8 400m N/G
2026-08-11,BULLI,AUS,G,1.260957835,9,2026-08-11 08:34:00,OPEN,R9 400m Gr4/5
2026-08-11,BULLI,AUS,G,1.260957838,10,2026-08-11 08:54:00,OPEN,R10 340m Gr5
2026-08-11,DALBY,AUS,R,1.260912505,1,2026-08-11 02:17:00,OPEN,R1 1000m Mdn
2026-08-11,DALBY,AUS,R,1.260912509,2,2026-08-11 02:52:00,OPEN,R2 1400m Mdn
2026-08-11,DALBY,AUS,R,1.260912513,3,2026-08-11 03:27:00,OPEN,R3 1400m Hcap
2026-08-11,DALBY,AUS,R,1.260912517,4,2026-08-11 04:04:00,OPEN,R4 1200m CL3
2026-08-11,DALBY,AUS,R,1.260912521,5,2026-08-11 04:42:00,OPEN,R5 1400m Hcap
2026-08-11,DALBY,AUS,R,1.260912525,6,2026-08-11 05:17:00,OPEN,R6 1400m Hcap
2026-08-11,DALBY,AUS,R,1.260912529,7,2026-08-11 05:57:00,OPEN,R7 1000m Hcap
2026-08-11,DALBY,AUS,R,1.260912533,8,2026-08-11 06:34:00,OPEN,R8 1000m Hcap
2026-08-11,DARWIN,AUS,G,1.260958798,1,2026-08-11 09:14:00,OPEN,R1 312m Gr5
2026-08-11,DARWIN,AUS,G,1.260958801,2,2026-08-11 09:29:00,OPEN,R2 383m Gr5
2026-08-11,DARWIN,AUS,G,1.260958804,3,2026-08-11 09:48:00,OPEN,R3 312m Gr3
2026-08-11,DARWIN,AUS,G,1.260958807,4,2026-08-11 10:12:00,OPEN,R4 312m Gr1/2
2026-08-11,DARWIN,AUS,G,1.260958810,5,2026-08-11 10:37:00,OPEN,R5 383m Gr3/4
2026-08-11,DARWIN,AUS,G,1.260958813,6,2026-08-11 10:55:00,OPEN,R6 537m Gr4/5
2026-08-11,DARWIN,AUS,G,1.260958816,7,2026-08-11 11:15:00,OPEN,R7 312m Gr4
2026-08-11,DARWIN,AUS,G,1.260958819,8,2026-08-11 11:34:00,OPEN,R8 312m Gr5
2026-08-11,DARWIN,AUS,G,1.260958822,9,2026-08-11 11:57:00,OPEN,R9 312m Gr4/5
2026-08-11,GEELONG,AUS,G,1.260960443,1,2026-08-11 04:34:00,OPEN,R1 400m Mdn
2026-08-11,GEELONG,AUS,G,1.260960446,2,2026-08-11 04:49:00,OPEN,R2 400m Gr7
2026-08-11,GEELONG,AUS,G,1.260960449,3,2026-08-11 05:11:00,OPEN,R3 400m Gr7
2026-08-11,GEELONG,AUS,G,1.260960452,4,2026-08-11 05:27:00,OPEN,R4 400m Gr6
2026-08-11,GEELONG,AUS,G,1.260960455,5,2026-08-11 05:47:00,OPEN,R5 400m Gr5
2026-08-11,GEELONG,AUS,G,1.260960458,6,2026-08-11 06:07:00,OPEN,R6 400m Gr5
2026-08-11,GEELONG,AUS,G,1.260960461,7,2026-08-11 06:22:00,OPEN,R7 400m Gr5
2026-08-11,GEELONG,AUS,G,1.260960464,8,2026-08-11 06:49:00,OPEN,R8 460m Gr5
2026-08-11,GEELONG,AUS,G,1.260960467,9,2026-08-11 07:09:00,OPEN,R9 400m Gr6
2026-08-11,GEELONG,AUS,G,1.260960470,10,2026-08-11 07:28:00,OPEN,R10 400m Gr5
2026-08-11,GEELONG,AUS,G,1.260960473,11,2026-08-11 07:50:00,OPEN,R11 400m Gr5
2026-08-11,GEELONG,AUS,G,1.260960476,12,2026-08-11 08:08:00,OPEN,R12 400m Gr5
2026-08-11,GEELONG,AUS,G,1.260960479,13,2026-08-11 08:27:00,OPEN,R13 400m Gr5
2026-08-11,GOSFORD,AUS,G,1.260957968,1,2026-08-11 08:47:00,OPEN,R1 388m Mdn
2026-08-11,GOSFORD,AUS,G,1.260957973,2,2026-08-11 09:11:00,OPEN,R2 515m Mdn
2026-08-11,GOSFORD,AUS,G,1.260957978,3,2026-08-11 09:35:00,OPEN,R3 388m Gr3/4
2026-08-11,GOSFORD,AUS,G,1.260957983,4,2026-08-11 09:59:00,OPEN,R4 388m Gr5
2026-08-11,GOSFORD,AUS,G,1.260957988,5,2026-08-11 10:19:00,OPEN,R5 388m Gr5
2026-08-11,GOSFORD,AUS,G,1.260957993,6,2026-08-11 10:43:00,OPEN,R6 515m Gr5
2026-08-11,GOSFORD,AUS,G,1.260957998,7,2026-08-11 11:07:00,OPEN,R7 515m Gr5
2026-08-11,GOSFORD,AUS,G,1.260958003,8,2026-08-11 11:27:00,OPEN,R8 515m Gr4/5
2026-08-11,GOSFORD,AUS,G,1.260958008,9,2026-08-11 11:50:00,OPEN,R9 515m Gr5
2026-08-11,GOSFORD,AUS,G,1.260958013,10,2026-08-11 12:14:00,OPEN,R10 388m Gr5
2026-08-11,GOSFORD,AUS,G,1.260958018,11,2026-08-11 12:35:00,OPEN,R11 388m Gr5
2026-08-11,GOSFORD,AUS,G,1.260958023,12,2026-08-11 12:51:00,OPEN,R12 388m N/G
2026-08-11,HAWKESBURY,AUS,R,1.260912536,1,2026-08-11 03:20:00,OPEN,R1 1500m CL1
2026-08-11,HAWKESBURY,AUS,R,1.260912539,2,2026-08-11 03:55:00,OPEN,R2 1500m Mdn
2026-08-11,HAWKESBURY,AUS,R,1.260912542,3,2026-08-11 04:35:00,OPEN,R3 1300m Mdn
2026-08-11,HAWKESBURY,AUS,R,1.260912545,4,2026-08-11 05:10:00,OPEN,R4 1300m CL1
2026-08-11,HAWKESBURY,AUS,R,1.260912548,5,2026-08-11 05:50:00,OPEN,R5 1800m Hcap
2026-08-11,HAWKESBURY,AUS,R,1.260912551,6,2026-08-11 06:25:00,OPEN,R6 1100m Mdn
2026-08-11,HAWKESBURY,AUS,R,1.260912554,7,2026-08-11 07:00:00,OPEN,R7 1100m CL1
2026-08-11,HOBART,AUS,G,1.260958767,1,2026-08-11 02:05:00,OPEN,R1 340m Mdn
2026-08-11,HOBART,AUS,G,1.260958770,2,2026-08-11 02:22:00,OPEN,R2 461m Gr6
2026-08-11,HOBART,AUS,G,1.260958773,3,2026-08-11 02:39:00,OPEN,R3 340m Gr6
2026-08-11,HOBART,AUS,G,1.260958776,4,2026-08-11 02:57:00,OPEN,R4 340m Gr6
2026-08-11,HOBART,AUS,G,1.260958779,5,2026-08-11 03:17:00,OPEN,R5 340m Gr5
2026-08-11,HOBART,AUS,G,1.260958782,6,2026-08-11 03:37:00,OPEN,R6 461m Gr5
2026-08-11,HOBART,AUS,G,1.260958785,7,2026-08-11 03:52:00,OPEN,R7 340m N/G
2026-08-11,HOBART,AUS,G,1.260958788,8,2026-08-11 04:19:00,OPEN,R8 340m Gr2/3
2026-08-11,HOBART,AUS,G,1.260958791,9,2026-08-11 04:39:00,OPEN,R9 340m Gr5
2026-08-11,HOBART,AUS,G,1.260958794,10,2026-08-11 05:07:00,OPEN,R10 340m Gr4
2026-08-11,HORSHAM,AUS,G,1.260960482,1,2026-08-11 04:43:00,OPEN,R1 410m Mdn
2026-08-11,HORSHAM,AUS,G,1.260960485,2,2026-08-11 04:58:00,OPEN,R2 485m Rest
2026-08-11,HORSHAM,AUS,G,1.260960488,3,2026-08-11 05:19:00,OPEN,R3 410m Gr7
2026-08-11,HORSHAM,AUS,G,1.260960491,4,2026-08-11 05:36:00,OPEN,R4 410m Gr6
2026-08-11,HORSHAM,AUS,G,1.260960494,5,2026-08-11 05:58:00,OPEN,R5 410m Gr5
2026-08-11,HORSHAM,AUS,G,1.260960497,6,2026-08-11 06:17:00,OPEN,R6 485m Gr5
2026-08-11,HORSHAM,AUS,G,1.260960500,7,2026-08-11 06:36:00,OPEN,R7 485m Gr5
2026-08-11,HORSHAM,AUS,G,1.260960503,8,2026-08-11 06:52:00,OPEN,R8 485m Gr4/5
2026-08-11,HORSHAM,AUS,G,1.260960506,9,2026-08-11 07:17:00,OPEN,R9 410m Final
2026-08-11,HORSHAM,AUS,G,1.260960509,10,2026-08-11 07:39:00,OPEN,R10 410m Gr4/5
2026-08-11,HORSHAM,AUS,G,1.260960512,11,2026-08-11 07:58:00,OPEN,R11 410m Gr5
2026-08-11,HORSHAM,AUS,G,1.260960515,12,2026-08-11 08:19:00,OPEN,R12 410m Gr5
2026-08-11,MENANGLE,AUS,H,1.260955823,1,2026-08-11 03:33:00,OPEN,R1 2300m Trot S
2026-08-11,MENANGLE,AUS,H,1.260955826,2,2026-08-11 04:07:00,OPEN,R2 1609m Pace M
2026-08-11,MENANGLE,AUS,H,1.260955829,3,2026-08-11 04:46:00,OPEN,R3 1609m Pace M
2026-08-11,MENANGLE,AUS,H,1.260955832,4,2026-08-11 05:21:00,OPEN,R4 1609m Pace M
2026-08-11,MENANGLE,AUS,H,1.260955835,5,2026-08-11 06:03:00,OPEN,R5 1609m Pace M
2026-08-11,MENANGLE,AUS,H,1.260955838,6,2026-08-11 06:37:00,OPEN,R6 1609m Pace M
2026-08-11,MENANGLE,AUS,H,1.260955841,7,2026-08-11 07:12:00,OPEN,R7 1609m Pace M
2026-08-11,MENANGLE,AUS,H,1.260955844,8,2026-08-11 07:45:00,OPEN,R8 1609m Pace M
2026-08-11,MURRAY BRIDGE STRAIGHT,AUS,G,1.260958527,1,2026-08-11 01:50:00,CLOSED,R1 300m Mdn
2026-08-11,MURRAY BRIDGE STRAIGHT,AUS,G,1.260958530,2,2026-08-11 02:11:00,OPEN,R2 350m Gr5
2026-08-11,MURRAY BRIDGE STRAIGHT,AUS,G,1.260958533,3,2026-08-11 02:34:00,OPEN,R3 350m Gr6
2026-08-11,MURRAY BRIDGE STRAIGHT,AUS,G,1.260958536,4,2026-08-11 02:49:00,OPEN,R4 350m FFA
2026-08-11,MURRAY BRIDGE STRAIGHT,AUS,G,1.260958539,5,2026-08-11 03:09:00,OPEN,R5 350m FFA
2026-08-11,MURRAY BRIDGE STRAIGHT,AUS,G,1.260958542,6,2026-08-11 03:24:00,OPEN,R6 350m FFA
2026-08-11,MURRAY BRIDGE STRAIGHT,AUS,G,1.260958545,7,2026-08-11 03:44:00,OPEN,R7 300m Gr6
2026-08-11,MURRAY BRIDGE STRAIGHT,AUS,G,1.260958548,8,2026-08-11 04:12:00,OPEN,R8 300m Gr5
2026-08-11,MURRAY BRIDGE STRAIGHT,AUS,G,1.260958551,9,2026-08-11 04:27:00,OPEN,R9 300m Gr5
2026-08-11,MURRAY BRIDGE STRAIGHT,AUS,G,1.260958554,10,2026-08-11 04:52:00,OPEN,R10 300m Gr5
2026-08-11,NORTHAM,AUS,H,1.260958624,1,2026-08-11 09:20:00,OPEN,R1 2190m Pace M
2026-08-11,NORTHAM,AUS,H,1.260958626,2,2026-08-11 09:54:00,OPEN,R2 1780m Pace M
2026-08-11,NORTHAM,AUS,H,1.260958628,3,2026-08-11 10:28:00,OPEN,R3 2190m Pace M
2026-08-11,NORTHAM,AUS,H,1.260958630,4,2026-08-11 11:02:00,OPEN,R4 2190m Pace M
2026-08-11,NORTHAM,AUS,H,1.260958632,5,2026-08-11 11:32:00,OPEN,R5 2190m Pace M
2026-08-11,NORTHAM,AUS,H,1.260958634,6,2026-08-11 12:09:00,OPEN,R6 1780m Pace M
2026-08-11,NORTHAM,AUS,H,1.260958636,7,2026-08-11 12:40:00,OPEN,R7 1780m Pace M
2026-08-11,NORTHAM,AUS,H,1.260958638,8,2026-08-11 13:09:00,OPEN,R8 2190m Pace M
2026-08-11,PORT PIRIE,AUS,H,1.260958427,1,2026-08-11 08:22:00,OPEN,R1 1609m Pace M
2026-08-11,PORT PIRIE,AUS,H,1.260958429,2,2026-08-11 08:53:00,OPEN,R2 2050m Pace M
2026-08-11,PORT PIRIE,AUS,H,1.260958431,3,2026-08-11 09:27:00,OPEN,R3 1609m Pace M
2026-08-11,PORT PIRIE,AUS,H,1.260958433,4,2026-08-11 10:01:00,OPEN,R4 1609m Pace M
2026-08-11,PORT PIRIE,AUS,H,1.260958435,5,2026-08-11 10:35:00,OPEN,R5 1609m Pace M
2026-08-11,PORT PIRIE,AUS,H,1.260958437,6,2026-08-11 11:09:00,OPEN,R6 1609m Pace M
2026-08-11,PORT PIRIE,AUS,H,1.260958439,7,2026-08-11 11:45:00,OPEN,R7 2050m Trot M
2026-08-11,Q1 LAKESIDE,AUS,G,1.260956800,1,2026-08-11 04:55:00,OPEN,R1 352m Gr6
2026-08-11,Q1 LAKESIDE,AUS,G,1.260956803,2,2026-08-11 05:14:00,OPEN,R2 352m Gr6
2026-08-11,Q1 LAKESIDE,AUS,G,1.260956806,3,2026-08-11 05:39:00,OPEN,R3 352m Gr5
2026-08-11,Q1 LAKESIDE,AUS,G,1.260956809,4,2026-08-11 05:54:00,OPEN,R4 457m Gr5
2026-08-11,Q1 LAKESIDE,AUS,G,1.260956812,5,2026-08-11 06:14:00,OPEN,R5 457m Gr4/5
2026-08-11,Q1 LAKESIDE,AUS,G,1.260956815,6,2026-08-11 06:42:00,OPEN,R6 457m Gr5
2026-08-11,Q1 LAKESIDE,AUS,G,1.260956818,7,2026-08-11 06:57:00,OPEN,R7 390m Gr6
2026-08-11,Q1 LAKESIDE,AUS,G,1.260956821,8,2026-08-11 07:20:00,OPEN,R8 457m Gr6
2026-08-11,Q1 LAKESIDE,AUS,G,1.260956824,9,2026-08-11 07:42:00,OPEN,R9 390m Gr6
2026-08-11,Q1 LAKESIDE,AUS,G,1.260956827,10,2026-08-11 08:05:00,OPEN,R10 550m Gr5
2026-08-11,Q1 LAKESIDE,AUS,G,1.260956830,11,2026-08-11 08:23:00,OPEN,R11 457m Gr5
2026-08-11,Q1 LAKESIDE,AUS,G,1.260956833,12,2026-08-11 08:41:00,OPEN,R12 457m Gr5
2026-08-11,Q1 LAKESIDE,AUS,G,1.260956836,13,2026-08-11 08:58:00,OPEN,R13 352m Gr5
2026-08-11,Q1 LAKESIDE,AUS,G,1.260956839,14,2026-08-11 09:18:00,OPEN,R14 352m Gr5
2026-08-11,SHEPPARTON,AUS,H,1.260958413,1,2026-08-11 07:04:00,OPEN,R1 2190m Pace M
2026-08-11,SHEPPARTON,AUS,H,1.260958415,2,2026-08-11 07:30:00,OPEN,R2 1690m Pace M
2026-08-11,SHEPPARTON,AUS,H,1.260958417,3,2026-08-11 08:00:00,OPEN,R3 2190m Pace M
2026-08-11,SHEPPARTON,AUS,H,1.260958419,4,2026-08-11 08:32:00,OPEN,R4 2190m Pace M
2026-08-11,SHEPPARTON,AUS,H,1.260958421,5,2026-08-11 09:03:00,OPEN,R5 2190m Pace M
2026-08-11,SHEPPARTON,AUS,H,1.260958423,6,2026-08-11 09:37:00,OPEN,R6 1690m Pace M
2026-08-11,SHEPPARTON,AUS,H,1.260958425,7,2026-08-11 10:11:00,OPEN,R7 1690m Trot M
2026-08-11,TOWNSVILLE,AUS,G,1.260958457,1,2026-08-11 08:30:00,OPEN,R1 380m Gr6
2026-08-11,TOWNSVILLE,AUS,G,1.260958462,2,2026-08-11 08:50:00,OPEN,R2 380m Gr5
2026-08-11,TOWNSVILLE,AUS,G,1.260958467,3,2026-08-11 09:05:00,OPEN,R3 498m Gr4
2026-08-11,TOWNSVILLE,AUS,G,1.260958472,4,2026-08-11 09:24:00,OPEN,R4 498m FFA
2026-08-11,TOWNSVILLE,AUS,G,1.260958477,5,2026-08-11 09:42:00,OPEN,R5 498m Gr5/6
2026-08-11,TOWNSVILLE,AUS,G,1.260958482,6,2026-08-11 10:06:00,OPEN,R6 498m Gr5/6
2026-08-11,TOWNSVILLE,AUS,G,1.260958487,7,2026-08-11 10:26:00,OPEN,R7 498m Gr5/6
2026-08-11,TOWNSVILLE,AUS,G,1.260958492,8,2026-08-11 10:49:00,OPEN,R8 498m Gr5
2026-08-11,TOWNSVILLE,AUS,G,1.260958497,9,2026-08-11 11:14:00,OPEN,R9 380m Gr1/2
2026-08-11,TOWNSVILLE,AUS,G,1.260958502,10,2026-08-11 11:30:00,OPEN,R10 380m Gr3/4
2026-08-11,TOWNSVILLE,AUS,G,1.260958507,11,2026-08-11 11:53:00,OPEN,R11 380m Gr4
2026-08-11,TOWNSVILLE,AUS,G,1.260958512,12,2026-08-11 12:17:00,OPEN,R12 380m Gr4
2026-08-11,TOWNSVILLE,AUS,G,1.260958517,13,2026-08-11 12:38:00,OPEN,R13 380m Gr4/5
2026-08-11,TOWNSVILLE,AUS,G,1.260958522,14,2026-08-11 12:58:00,OPEN,R14 380m Gr5
2026-08-11,WAGGA,AUS,G,1.260957913,1,2026-08-11 08:37:00,OPEN,R1 320m Mdn
2026-08-11,WAGGA,AUS,G,1.260957918,2,2026-08-11 09:01:00,OPEN,R2 400m Mdn
2026-08-11,WAGGA,AUS,G,1.260957923,3,2026-08-11 09:25:00,OPEN,R3 400m Gr5
2026-08-11,WAGGA,AUS,G,1.260957928,4,2026-08-11 09:45:00,OPEN,R4 400m Gr5
2026-08-11,WAGGA,AUS,G,1.260957933,5,2026-08-11 10:09:00,OPEN,R5 525m Gr5
2026-08-11,WAGGA,AUS,G,1.260957938,6,2026-08-11 10:33:00,OPEN,R6 525m N/G
2026-08-11,WAGGA,AUS,G,1.260957943,7,2026-08-11 10:57:00,OPEN,R7 400m Gr4/5
2026-08-11,WAGGA,AUS,G,1.260957948,8,2026-08-11 11:17:00,OPEN,R8 320m Gr4/5
2026-08-11,WAGGA,AUS,G,1.260957953,9,2026-08-11 11:40:00,OPEN,R9 320m Gr5
2026-08-11,WAGGA,AUS,G,1.260957958,10,2026-08-11 12:03:00,OPEN,R10 320m Gr5
2026-08-11,WAGGA,AUS,G,1.260957963,11,2026-08-11 12:23:00,OPEN,R11 320m Gr5
2026-08-11,WARRAGUL,AUS,G,1.260956740,1,2026-08-11 08:44:00,OPEN,R1 400m Mdn
2026-08-11,WARRAGUL,AUS,G,1.260956745,2,2026-08-11 09:08:00,OPEN,R2 400m Gr6/7
2026-08-11,WARRAGUL,AUS,G,1.260956750,3,2026-08-11 09:32:00,OPEN,R3 400m Gr5
2026-08-11,WARRAGUL,AUS,G,1.260956755,4,2026-08-11 09:52:00,OPEN,R4 460m Final
2026-08-11,WARRAGUL,AUS,G,1.260956760,5,2026-08-11 10:16:00,OPEN,R5 680m Gr5
2026-08-11,WARRAGUL,AUS,G,1.260956765,6,2026-08-11 10:40:00,OPEN,R6 460m Gr5
2026-08-11,WARRAGUL,AUS,G,1.260956770,7,2026-08-11 11:00:00,OPEN,R7 460m Rest
2026-08-11,WARRAGUL,AUS,G,1.260956775,8,2026-08-11 11:20:00,OPEN,R8 460m Gr4/5
2026-08-11,WARRAGUL,AUS,G,1.260956780,9,2026-08-11 11:43:00,OPEN,R9 400m FFA
2026-08-11,WARRAGUL,AUS,G,1.260956785,10,2026-08-11 12:06:00,OPEN,R10 400m Gr4/5
2026-08-11,WARRAGUL,AUS,G,1.260956790,11,2026-08-11 12:32:00,OPEN,R11 400m Gr5
2026-08-11,WARRAGUL,AUS,G,1.260956795,12,2026-08-11 12:48:00,OPEN,R12 400m Gr5
2026-08-12,ANGLE PARK,AUS,G,1.260999937,1,2026-08-12 01:46:00,OPEN,R1 342m Mdn
2026-08-12,ANGLE PARK,AUS,G,1.260999940,2,2026-08-12 02:03:00,OPEN,R2 342m Rest
2026-08-12,ANGLE PARK,AUS,G,1.260999943,3,2026-08-12 02:19:00,OPEN,R3 342m Rest
2026-08-12,ANGLE PARK,AUS,G,1.260999946,4,2026-08-12 02:38:00,OPEN,R4 342m N/G
2026-08-12,ANGLE PARK,AUS,G,1.260999949,5,2026-08-12 02:57:00,OPEN,R5 342m N/G
2026-08-12,ANGLE PARK,AUS,G,1.260999952,6,2026-08-12 03:22:00,OPEN,R6 342m N/G
2026-08-12,ANGLE PARK,AUS,G,1.260999955,7,2026-08-12 03:47:00,OPEN,R7 342m N/G
2026-08-12,ANGLE PARK,AUS,G,1.260999958,8,2026-08-12 04:07:00,OPEN,R8 342m N/G
2026-08-12,ANGLE PARK,AUS,G,1.260999961,9,2026-08-12 04:32:00,OPEN,R9 342m N/G
2026-08-12,ANGLE PARK,AUS,G,1.260999964,10,2026-08-12 04:54:00,OPEN,R10 530m N/G
2026-08-12,ANGLE PARK,AUS,G,1.260999967,11,2026-08-12 05:14:00,OPEN,R11 342m Rest
2026-08-12,ANGLE PARK,AUS,G,1.260999970,12,2026-08-12 05:37:00,OPEN,R12 342m Rest
2026-08-12,BENDIGO,AUS,R,1.260957842,1,2026-08-12 03:00:00,OPEN,R1 1000m 3yo
2026-08-12,BENDIGO,AUS,R,1.260957851,2,2026-08-12 03:35:00,OPEN,R2 1000m Mdn
2026-08-12,BENDIGO,AUS,R,1.260957860,3,2026-08-12 04:10:00,OPEN,R3 1600m Mdn
2026-08-12,BENDIGO,AUS,R,1.260957869,4,2026-08-12 04:45:00,OPEN,R4 1300m Mdn
2026-08-12,BENDIGO,AUS,R,1.260957878,5,2026-08-12 05:20:00,OPEN,R5 1000m Hcap
2026-08-12,BENDIGO,AUS,R,1.260957887,6,2026-08-12 05:55:00,OPEN,R6 1100m Hcap
2026-08-12,BENDIGO,AUS,R,1.260957896,7,2026-08-12 06:30:00,OPEN,R7 1300m Hcap
